Account Name,Churned currency,Churned Amount,Approx. Close Date,Territory,Billing Country,Screening,Churn Reason,Churn Detail,Churn Summary,Agency Group,Brandwatch Products,Fiscal Period
Luigi LAVAZZA S.p.a.,USD,3574.2,12/21/2022,EMEA,Italy,Top Business,Product,,,,Brandwatch Consumer Research (BCR) - Additional Users;Brandwatch Premium Research - Mentions account;Custom Expert Hours Ongoing;Historical Mentions;,Q4-2022
5W Public Relations,USD,5250,12/21/2022,Americas,United States,Medium Business,Price/Packaging,,"""Pricing was secondary in our decision. The primary reason for our decision was the time savings the team determined they would realize with the switch to Sprout, and in terms of hours spent we determined the value in freeing up more bandwidth for the team to handle more projects was very valuable.""",,All historical data on query save;Brandwatch Premium Research;,Q4-2022
Colle & McVoy LLC,USD,4288,12/21/2022,Americas,United States,Large Business,Product,,,MDC Partners,All historical data on query save;Brandwatch Premium Research;,Q4-2022
Nethodology,USD,569.25,12/30/2022,EMEA,Spain,Extra Small,Adoption,,,,Audiences - Professional;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch for Agencies Core Account (BCR);Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Logo recognition;,Q4-2022
Republica Havas,USD,236.67,1/1/2023,Americas,United States,Small Business,Other,Other,Included in Havas US opp,Havas,Brandwatch User License (HAVAS only);,Q1-2023
Tocanan Limited,USD,125,1/5/2023,APAC,Hong Kong,Extra Small,Nature of Business,Loss of end-client / product offering,Lost end client op that made Hannah reduce and consolidate their account,,API+;Brandwatch Enterprise Research;Image Insights;Premium API - Content Upload API - Tier 2;,Q1-2023
PwC (parent),USD,8300,1/10/2023,Americas,United States,Small Business,Nature of Business,,,PWC,API+;Brandwatch Enterprise Research;Image Insights;,Q1-2023
LUSSO,USD,850,1/12/2023,EMEA,France,Small Business,Price/Packaging,,,,Brandwatch Pro Research;,Q1-2023
WE Marketing Digital Group,USD,1400,1/19/2023,Americas,Mexico,Extra Small,Adoption,Lost sponsor / champion / key users,"This client lost their end client, which resulted in them not having a use case for our platform anymore. They liked the platform, and mentioned they would come back when they found another client with a SL use case.",,Brandwatch Premium Research;,Q1-2023
Open Health,USD,2630,1/20/2023,EMEA,United Kingdom,Medium Business,Product,,Client never came back to us.,WPP,Brandwatch Premium Research;,Q1-2023
Publicis One Touch,USD,2108.89,1/31/2023,EMEA,Germany,Small Business,Price/Packaging,Undercut by competitor,We lost the Publicis RfP to Talkwalker but this specific client has now come back to us.,Publicis,Brandwatch Premium Research;Logo recognition;,Q1-2023
Ernst & Young U.S. LLP,USD,2280,2/2/2023,Americas,United States,Top Business,Price/Packaging,,,EY,API+;API+;Brandwatch Enterprise Research;Brandwatch Enterprise Research;Image Insights;Image Insights;,Q1-2023
"iCrossing, Inc.",USD,4556,2/6/2023,Americas,United States,Medium Business,Nature of Business,,,,API+;Brandwatch Enterprise Research;Image Insights;,Q1-2023
DDC Public Affairs,USD,3217,2/9/2023,Americas,United States,Small Business,Price/Packaging,,,Omnicom,API+;Brandwatch Enterprise Research;Image Insights;,Q1-2023
Indra Soluciones TI S.L.U (Minsait),USD,5705.55,2/9/2023,EMEA,Spain,Large Business,Product,Missing Feature / Functionality,"They needed to reduce the budget. TikTok also played an important aspect in the decision, they mentioned that they would only renew if we offered tiktok data in BCR. We asked for detailed feedback on multiple occasions and shared proposals tailored to their needs but the client is unresponsive and not logging into the platform.",,Brandwatch Pro Research;Brandwatch Pro Research;Brandwatch Pro Research;Brandwatch Pro Research;,Q1-2023
aktsiaselts Idea AD,USD,236.67,2/10/2023,EMEA,Estonia,Medium,Adoption,,,Havas,Brandwatch User License (HAVAS only);Brandwatch User License (HAVAS only);Brandwatch User License (HAVAS only);,Q1-2023
Havas AG,USD,236.67,2/10/2023,EMEA,Switzerland,Top Business,,,,Havas,Brandwatch User License (HAVAS only);Brandwatch User License (HAVAS only);,Q1-2023
Sra Rushmore S.A.,USD,990,2/12/2023,EMEA,Spain,Medium Business,Price/Packaging,Budget cuts,The client informed us that they were cancelling in Dec because they were not making the most of the tool and dont have budget for the features they would need. We've tried to re-engage them but they've been unresponsive.,WPP,Brandwatch Pro Research;,Q1-2023
Jellyfish UK Limited,USD,850,2/19/2023,EMEA,United Kingdom,Large,Other,Other,Not a churn. Client chose to move to us direct to get more support directly from the Brandwatch team. This has an increased MRR and is closed won in this opp: https://falconsocial.lightning.force.com/lightning/r/Opportunity/0065b00000zwWkuAAE/view,,B4A - Brandwatch Consumer Research (BCR) Core Account - Premium - Mentions account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Pro Research;Brandwatch Pro Research;Historical Mentions;Historical Mentions;Resold Services - Buzzsumo Enterprise;,Q1-2023
"Butler/Till Media Services, Inc.",USD,4729,2/22/2023,Americas,United States,Small Business,Nature of Business,Loss of end-client / product offering,"Client's social team has shrunk and they are in need of a ""more simplified"" platform to support ongoing work. Large client engagement with State Farm did not pan out, which would have sustained Brandwatch usage. Have opted for Netbase to reduce costs and to benefit from ""easier to use"" platform.",,Additional Facebook and Instagram Channels;Brandwatch Premium Research;,Q1-2023
Grey London,USD,3486.25,2/23/2023,EMEA,United Kingdom,Extra Small,Other,Other,"This account has moved over to a global deal with Grey London, so they are still with us, just in a separate contract. Biz Ops / Annabel / Alex / Jeff are all aware.",WPP,Brandwatch Premium Research - Mentions account;Historical Mentions;,Q1-2023
EY Advisory S.p.A.,USD,1800,3/1/2023,EMEA,Italy,Top Business,Other,Ghosted,"EY has a legacy global account, where each local entity pays for a subscription to a project. My suspicion is that the Italian team is using EY global's login to use BCR rather than renewing their own subscription. There is no way for us to prevent this atm.",EY,API+;Brandwatch Enterprise Research;Image Insights;,Q1-2023
"Ontic Technologies, Inc",USD,0,3/1/2023,Americas,United States,Extra Small,Other,Other,"This is not a churn. The original opportunity was a one-time, non-recurring upsell charge for monthly mentions overages as agreed to in the customer's MSA.",,API+;Brandwatch Enterprise Research - Mentions Account;Historical Mentions;Image Insights;,Q1-2023
Anchor Worldwide,USD,4375,3/9/2023,Americas,United States,Medium Business,Price/Packaging,Undercut by competitor,BMW was already using Meltwater and consolidated their social listening with their agency parter (Anchor WW) under Meltwater as well.,,Brandwatch Premium Research;Brandwatch Premium Research;,Q1-2023
Bravo Group inc,USD,4610,3/9/2023,Americas,United States,Medium Business,Price/Packaging,Budget cuts,"Due to budget and client shifts internally, Bravo Group cannot renew Brandwatch at this time. Maria + Erica worked to secure renewal at a smaller 5Q account that Bravo Group could use for pitching to help win new customers, however, this wasn't in the budget at this time. From Rhett (Exec. Spon.): ""Unfortunately, we are not going to renew, at this time. The need/demand for BW based on our current level of work and client needs/requirements cannot justify that level of commitment for us. Based on conversation of some of our prospective clients, that need may change in the future. But, until then, we will need to hold on to this. """,WPP,Brandwatch Premium Research;LexisNexis for BCR;Resold Services - Buzzsumo Enterprise;,Q1-2023
MKR,USD,4911,3/12/2023,Americas,United States,Medium Business,Price/Packaging,Undercut by competitor,"Hi, Shawnda. Thank you for reaching out. At this time, we have chosen not to renew our contract with Brandwatch, ending our arrangement with this current period. I believe that runs through March 11. Could you please provide me with the cancellation notice and anything else you need from us? Thank you and best regards, Chris Summers Thank you, Shawnda. We can share that we have found a tool that meets our needs at a significantly reduced fee without the restrictions on number of queries. Will you be sending a formal cancellation notice or does this email chain serve as such? Thanks! Chris",,All historical data on query save;Brandwatch Premium Research;,Q1-2023
BBDO DUBLIN,USD,2592.22,3/12/2023,EMEA,Ireland,Large Business,Other,Other,"TNI, the end client for this reporting, will either come directly to us or bring it in-house, as the once reports are delivered to BBDO they then make changes and add insight, leading to a later delivery of the report by which time insight is out of date.",Omnicom,Brandwatch Premium Research - Mentions account;Custom Expert Hours Ongoing;Historical Mentions;,Q1-2023
FeedbackPR Latam,USD,700,3/14/2023,Americas,Argentina,Medium,Price/Packaging,Budget cuts,"Contract is Argentina based, therefore paying in USD is very complicated for them.",,Brandwatch Premium Research;Brandwatch Pro Research;Image Insights;,Q1-2023
Saatchi & Saatchi Wellness - (US),USD,3208,3/16/2023,Americas,United States,Medium,Price/Packaging,Undercut by competitor,"In December 2022, Brandwatch lost the Publicis RFP to Netbase. We were undercut by price by roughly 50%. As such, Saatchi Wellness is forced to move over to Netbase when their contract expires on March 16. From Exec Sponsor: ""Unfortunately we will not be moving forward with renewing the contract for the year. Although we?ve enjoyed the capabilities of the platform and the support given to us by the customer support team, in the end the Groupe level offering was significantly cheaper and I could not justify the incremental cost to the finance team.""",Publicis,Brandwatch Consumer Research (BCR) - Premium;,Q1-2023
Social Chain,USD,6592.5,3/18/2023,EMEA,United Kingdom,Medium Business,Price/Packaging,Undercut by competitor,"They require minimum 40 queries to work, while Meltwater has offered them unlimited queries for the same price, so we have lost this mainly to offering and cost.",,API+;Brandwatch Enterprise Research;Brandwatch Premium Research;Brandwatch Premium Research;Image Insights;,Q1-2023
"Tinuiti, Inc.",USD,8333,3/22/2023,Americas,United States,Large Business,Nature of Business,Loss of end-client / product offering,"We did our due diligence internally to see if there was a way to get financial approval, but with the daily low use rates across the larger team and with the social team, we are not able to move forward. Client stated the following: We will continue to keep Brandwatch in mind as we move throughout the year and continue to reevaluate. *They are not using a social listening service",,Brandwatch Premium Research;Custom Expert Hours Ongoing;,Q1-2023
Annalect Italy,USD,831.11,3/23/2023,EMEA,Italy,Extra Small,Adoption,Lost sponsor / champion / key users,End client invested in an internal solution,Omnicom,Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch for Agencies Core Account (BCR);Historical Mentions;Historical Mentions;,Q1-2023
Legend Ventures,USD,3591,3/28/2023,Americas,United States,Medium,Other,Ghosted,"Client didn't respond various efforts to make contact. Finally received a response when the Jeffrey Rosello (SVP) contacted client on 03/27/23 to notify them of pending account deactivation. Client responded to tell us they aren't renewing, but provided no additional feedback.",,API+;Brandwatch Premium Research;,Q1-2023
Essence London,USD,2747,3/29/2023,EMEA,United Kingdom,Medium Business,Nature of Business,Loss of end-client / product offering,"The customer never responded when I question whether they would renew or not. No confirmed reason, but there was a lack of activity across customers using the platform.",WPP,Brandwatch Premium Research;,Q1-2023
Phyx,USD,1275,3/30/2023,Americas,Colombia,Extra Small,Other,Other,"Our MPOC in the account told us they were originally considering to renew for 1 more year but due to changes in their organization and lack of budget in their department (Colombia?s currency is going through rough times against the US dollar), they had to take the decision of not continuing with our service.",,Brandwatch Pro Research;,Q1-2023
LNK,USD,700,3/31/2023,Americas,Brazil,Small Business,Nature of Business,Loss of end-client / product offering,"This client had a government client which decided last minute they are not renewing because a change of process. We believe this client can work with us in the near future, will set a reminder to reach out in 2 months.",,Brandwatch Pro Research;,Q1-2023
Dentsu Mexico,USD,1400,4/1/2023,Americas,Mexico,Top Business,Price/Packaging,Undercut by competitor,"This client has a global contract for another influencer platform, and they decided to merge with this global contract instead of spending on another platform.",Dentsu,Brandwatch Consumer Research (BCR) Agency Client Account;Historical Mentions;,Q2-2023
EY Korea,USD,24680,4/1/2023,APAC,"Korea, Republic of",Large Business,Other,Other,"Unfortunately EY Korea have finally responded and advised that they will not be renewing. Here's a bit of context on the situation: - My understanding is that the EY Korea relationship was passed over from the brand CSM team to the agency team in September 2022 (From Jen Wilder to Anna Alber). - When handing the account over, the brand team flagged that there was a high risk of churn due to use of Sprinklr at Samsung and Samsung's internal S-Core agency potentially taking the business back from EY. This is detailed in Jen Wilder's handover document. - I returned from maternity leave this year and was handed EY Korea at the end of January 2023, with Anna Alber leaving Brandwatch. - Anna introduced me to the client over email but the client has never acknowledged the change in CSM or responded to any requests for an introductory call / product roadmap. - The only communication we have had with the client this year is through a user (Areum) raising a support ticket about data discrepancies. Following the support responses, Areum requested clarification and a link to the Brandwatch SLAs. Due to the timezone difference, the support team took a while to investigate the issue because each time they responded to Areum, it was outside of their working hours. - I strongly feel that the account would have benefitted throughout the contract if managed by an APAC CSM within their timezone and if we had APAC based tech support. - Platform logins were at a good level throughout. - We contacted the client about the renewal on many occasions and had zero response. This included creating Intercom in-app messages that pop up to users within the platform. - Erica Millstein also reached out to her EY US contacts and asked for them to help put us in touch with the right person in Korea. - The subscription expired and the users were locked on 3rd of April. Alex sent an exec outreach email to again request a response to the renewal. - On 4th April we finally received a response from Areum stating the below: ""Dear BCR team, We've been thankful for BCR's suppot so far. Sorry but we won't extend the contact. It'd been a really great time with BCR. It'd be appreciated if we can make a connection next time. I wish you all the best, BCR team. Thank you again. Best regards, AREUM JANG."" - We are still trying to find out the reason for cancellation but the client currently will not respond to any requests for more information.",EY,API+;Brandwatch Enterprise Research;Image Insights;,Q2-2023
"Ontic Technologies, Inc",USD,0,4/1/2023,Americas,United States,Extra Small,Other,Other,"This is not a churn. The original opportunity was a one-time, non-recurring upsell charge for monthly mentions overages as agreed to in the customer's MSA.",,API+;Brandwatch Enterprise Research - Mentions Account;Historical Mentions;Image Insights;,Q2-2023
Pavillon Noir,USD,1270,4/1/2023,EMEA,France,Extra Small,Nature of Business,Loss of end-client / product offering,The agency lost the main client,,All historical data on query save;Brandwatch Pro Research;Custom Expert Hours Ongoing;,Q2-2023
Nethodology,USD,984.44,4/1/2023,EMEA,Spain,Extra Small,Nature of Business,Loss of end-client / product offering,"Definitely cancelled, their client does not continue and therefore, neither do they with us, the relationship is good so it is very likely that they will call us again if they have the opportunity with another client.",,Audiences - Professional;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch for Agencies Core Account (BCR);Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Logo recognition;,Q2-2023
Lerma Agency,USD,4879,4/2/2023,Americas,United States,Medium Business,CX,Level of CX Support,"Client wasn't notified in advance of 30 day period for their auto-renew last year. Client felt like they were held hostage to continuing to work with Brandwatch. They have been testing a lot of different social listening solutions and they want to give Talkwalker a shot. They find the UI is friendly for light users and even though Brandwatch is very powerful, they don't need ""exact"" data - which is one of the benefits of Brandwatch. All-in-all they said this year was a much better experience with the CSM and PM team, but wish they had this experience last year.",,40 Expert Hours;Brandwatch Premium Research;Vizia reporting;Vizia Theme;,Q2-2023
Jellyfish UK Limited,USD,812.5,4/3/2023,EMEA,United Kingdom,Large,Adoption,Lack of strategy / never adopted,Never fully adopted the product (the end client Berkley Group) so want to churn.,,B4A - Brandwatch Consumer Research (BCR) Core Account - Premium - Mentions account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Pro Research;Brandwatch Pro Research;Historical Mentions;Historical Mentions;Resold Services - Buzzsumo Enterprise;,Q2-2023
iProspect UK,USD,550,4/19/2023,EMEA,United Kingdom,Medium Business,Nature of Business,Loss of end-client / product offering,"Team originally wanted to move 5 queries from the Carat account to the Iprospect Account. The contact (Gary Rodder) has now decided that they do not want to do this and will not be renewing. I have asked for some clarity on why these were purchased originally by (Nicola Barrett, who is on mat leave) on another contract but are used by the Carat account team. Lots of internal changes in teams and stakeholders since this original contract sold.",Dentsu,Brandwatch Premium Research;,Q2-2023
Dentsu X UK,USD,2205,4/19/2023,EMEA,United Kingdom,Medium Business,Price/Packaging,Contract / Packaging structure,Dentsu have had many internal restructures recently and are consolidating their BCR contracts. The Dentsu X license is a much higher cost per Query than their other contracts due to the license being taken out more recently. Their other licences (such as Carat and iProspect) are highly discounted as they were taken out many years ago and we can only raise Dentsu rates by 5% at each renewal (due to the MSA). There has also been high staff turnover at Dentsu X which means there are no experienced BW users there currently. This plus the higher cost of the subscription has resulted in the decision to cancel the Dentsu X license. Our understanding is that some Dentsu X staff will be given access to the other Dentsu licences if social listening is needed for client projects. This may result in growth on the other licences over the next year.,Dentsu,Brandwatch Premium Research;,Q2-2023
Rayados de Monterrey,USD,700,4/20/2023,Americas,Mexico,Medium Business,Nature of Business,Loss of end-client / product offering,"This client doesn't have the resources to continue managing Brandwatch. It's a football team, but they don't have a marketing team to navigate the platform and create the reports for them. They like the platform, but aren't seeing much ROI. Will work with partner to bring them back in the future.",,Brandwatch Pro Research;,Q2-2023
"PricewaterhouseCoopers Asesores de Negocios, S.L",USD,1725.56,4/20/2023,EMEA,Spain,Large Business,Nature of Business,Loss of end-client / product offering,"PwC Spain doesn't offer social listening to their end clients anymore. They like BW, just don't have anybody that will use it.",PWC,All historical data on query save;Brandwatch Premium Research;,Q2-2023
"Mindshare USA, LLC",USD,1650,4/22/2023,Americas,United States,Top Business,Price/Packaging,Budget cuts,"loandepot's budget is taking a huge hit given the current interest rates and inflation climate, so they cannot renew this contract.",WPP,All historical data on query save;API+;Audiences - Enterprise;B4A - Brandwatch Consumer Research (BCR) - Individual Account - Premium;Brandwatch Enterprise Research;Image Insights;,Q2-2023
RTI International (Parent),USD,1100,4/25/2023,Americas,United States,Large Business,Nature of Business,Loss of end-client / product offering,RTI's end client cut their budget. This had nothing to do with Brandwatch.,,All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);,Q2-2023
Afterverse,USD,700,4/30/2023,Americas,Brazil,Small Business,Nature of Business,Loss of end-client / product offering,"Afterverse went broke because they lost their main client, therefore are not renewing their BW license through our partner, Polis.",,Brandwatch Pro Research;,Q2-2023
NTT DATA México S. de R.L. de C.V.,USD,1000,5/1/2023,Americas,Mexico,Medium,Nature of Business,Loss of end-client / product offering,"Our MPOC reached out explaining that they had lost the main client that helped them afford the price of our platform so without their business, they couldn't continue paying for BCR.",,Brandwatch Pro Research;,Q2-2023
CUS LLC,USD,900,5/2/2023,Americas,United States,Medium Business,Nature of Business,Loss of end-client / product offering,"On 03/06/23 we received notice from their legal team, this was a surprise as the users were active in the platform and we connected often with our MPOC to discuss their projects. After several attempts from our side to better understand the reason, one of the top execs mentioned this was due to budget cuts in the department (we knew they were relatively small and they lost one of their pharma clients in 2022). We tried to present options but unfortunately the final decision was to not move forward with the 2023 renewal. We're ending this on good terms hoping when their digital team grows (and if they bring back a big client), we can win them back as clients.",,Brandwatch Pro Research;,Q2-2023
DRP Group,USD,3375,5/3/2023,EMEA,United Kingdom,Large Business,Price/Packaging,Undercut by competitor,"Feb 2023: They gave their notice that Brandwatch was too expensive and they were leaving, but they have not given us any feedback or told us anything about any competitor.",,Audiences - Professional;Brandwatch Premium Research;,Q2-2023
Campbell-Ewald Company,USD,3574,5/6/2023,Americas,United States,Top Business,Adoption,Strategy change,"Client had undergone an internal restructuring resulting in the Digital team no longer heading up their CI practice. The other teams (Strategy, New Business, and Consumer Experience) had been instated too recently to have adequate budget or client base to justify expense. Opportunity exists for future engagement once these teams are fully ramped up, but client cannot justify the expense in time for a renewal.",Interpublic Group,All historical data on query save;Brandwatch Consumer Research (BCR) - Additional Users;Brandwatch Premium Research;,Q2-2023
WILD Fi Chile,USD,1050,5/28/2023,Americas,Chile,Small Business,Nature of Business,Loss of end-client / product offering,Wildfi lost their end client who used BW for reporting purposes. They are doing a lot of restructuring internally and have mentioned when they have the right resources and clients we can reach back out to them.,,Brandwatch Pro Research;,Q2-2023
C6 Bank,USD,595,5/31/2023,Americas,Brazil,Top Business,Nature of Business,"M&A, bankruptcy, public filings","This client had a very signficant discount since they closed in 2021, and had budget reductions this year. They were not very respondent when we communicated their MRR was going to go up to $700. Our partner keeps working with them and will try and see if they can come back to work with us with more budget approved.",,Brandwatch Pro Research;,Q2-2023
MWW Group LLC,USD,4975,6/1/2023,Americas,United States,Small,Price/Packaging,Undercut by competitor,"Decision came directly from higher management originally, unbeknownst to MPOC and power users. MPOC wanted to stay with Brandwatch, but they are churning for Meltwater. Cited multiple reasons, including: looking to consolidate their tools for lower cost, unlimited queries for a lower price, PR tools, lower barriers to onboarding, and faster turnaround for Professional Services.",,Brandwatch Premium Research;Custom Expert Hours Ongoing;Resold Services - Buzzsumo Enterprise;,Q2-2023
SOME Marketing SA de CV,USD,1450,6/15/2023,Americas,Mexico,Extra Small,Nature of Business,Brandwatch initiated closure / No payment,5/23 AV - Finance working on final notice before sending the account to our debt collection agency 3/15 AV Client is currently under debt collection. Platform access was removed in 1/13,,Brandwatch for Agencies Core Account (BCR);,Q2-2023
Global Fund for Women,USD,7725,6/28/2023,Americas,United States,Small Business,Nature of Business,Loss of end-client / product offering,Client decided not renew after months of research analyst support and creating a playbook for GFW Nigeria.,,80 Expert Hours;All historical data on query save;Brandwatch Premium Research;Resold Services - Buzzsumo Enterprise;Vizia reporting;Vizia Theme;,Q2-2023
OC&C Services Ltd,USD,3646.25,6/29/2023,EMEA,United Kingdom,Medium Business,Price/Packaging,Budget cuts,"27/6: Client decided to churn because we were not able to hand over a custom made project that normally costs 5k-7k USD. This is after ticking all the boxes the client needed, showcased during our demo. Please see risk notes. Unprofessional behaviour and budget cuts.",,Brandwatch Premium Research;,Q2-2023
Romance,USD,2000,6/30/2023,EMEA,France,Extra Small,Nature of Business,,"DDB will invest in one tool for all their agencies, Romance will have to use DDB's once its won",,Brandwatch Premium Research;,Q2-2023
Metia (US),USD,1732,7/1/2023,Americas,United States,Large Business,Nature of Business,Loss of end-client / product offering,Metia lost their Brandwatch related work with Microsoft due to budget cuts. Microsoft was always very happy with the reports that Metia delivered. We continue to work with Metia on new business work and additional client funded projects.,,API+;API+;Audiences - Strategic;B4A - Brandwatch Consumer Research (BCR) Core Account - Enterprise - Mentions Account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Enterprise - Mentions Account;Historical Mentions;Historical Mentions;Image Insights;Image Insights;,Q3-2023
"Cuadrante Estrategia y Comunicación, S.C.",USD,2000,7/5/2023,Americas,Mexico,Extra Small,Price/Packaging,Legal terms,"06/06 AL: Our client confirmed that they are not happy about the fact that they could not cancel their other subscription when they loss their client right after the renewal happened, they express lack of flexibility to sign short term contracts and shorter payment periods like monthly payments. They didn't disclose what competitor they signed with but they said that pricing and terms or contract were better for their business at this time.",,B4A - Brandwatch Consumer Research (BCR) - Core Account - Premium;,Q3-2023
Fors Marsh Group,USD,6615,7/6/2023,Americas,United States,Medium Business,Nature of Business,Loss of end-client / product offering,"(6/13) SH and MC were informed by the client that they were not selected to present for this book of business for contract renewal. Therefore this will not be renewed (5/22) SH followed up with the client regarding renewal. Client stated that ""unfortunately, we have not heard that the contract will be renewed prior to the end of the contract on July 25th. Will be in continued communication with the client in the interim",,All historical data on query save;All historical data on query save;API+;API+;Brandwatch Enterprise Research;Brandwatch Enterprise Research;Image Insights;Image Insights;LexisNexis for BCR;,Q3-2023
TBWA Colombia S.A.S.,USD,875,7/6/2023,Americas,Colombia,Extra Small,Price/Packaging,Undercut by competitor,"This client announced they were moving to a competitor. We communicated with them and asked about the decision trying to renew and offer then to meet and continue the relationship but ultimately they said it was about the ""attractive proposal"" and didn't communicate with us after that.",Omnicom,Brandwatch Pro Research;,Q3-2023
Scribe Media,USD,960,7/10/2023,Americas,United States,Small Business,,,,,,Q3-2023
Cornett,USD,7433,7/13/2023,Americas,United States,Medium Business,Nature of Business,Loss of end-client / product offering,"06/09 | AM - due to a lack of manpower, the client was sold on services (BCR and 200 EHRs) with the expectation they could lean on Professional Services to do the most of the work for them with 5-day turn around times. The expectations set by Sales were unrealistic. TATs for Professional Services around an est. 30-60 days. In addition, the client had a difficult time uncovering new and relevant insights for the end-client (Markey Cancer Center) who paid for the services. Despite efforts to have Professional Services intervene and see if we were able to discover NEW insights the client missed, Cornett's end-client (UK Healthcare/Markey Cancer Center) didn't budget for the services for this year (2023-2024). Cornett declined to meet and discuss this further. They did not go to a competitor.",Omnicom,Brandwatch Premium Research;Custom Expert Hours Ongoing;,Q3-2023
Kantar,USD,5937.5,7/13/2023,EMEA,United Kingdom,Top Business,Other,Other,Churned based on the competitor issues between Onclusive and Cision. Brandwatch leadership team highlighted this previously and our rules around how they can / can't use Brandwatch limit them too much.,WPP,Brandwatch Premium Research - Mentions account;Historical Mentions;Historical Mentions;,Q3-2023
"GroupM UK Ltd on behalf of Mindshare UK, WW and Ne",USD,337.5,7/21/2023,EMEA,United Kingdom,Top Business,Product,Slow / Instability / Bugs,2 key reasons: - Issues logging in (happened more than once) - Expensive to add more data sources,WPP,Audiences - Enterprise;Brandwatch Premium Research;Per site product uplift;Per URL pricing for Brandwatch Reviews;Product Review Analytics;Vizia;Vizia Theme;,Q3-2023
Fracture,USD,1621,7/26/2023,Americas,United States,Extra Small,Adoption,Strategy change,This was a late cancelation. The client is undergoing a lot of organizational restructuring and budget cuts so they are looking to cut costs wherever possible. They tried getting out of their contract early.,,,Q3-2023
SM Digital,USD,1600,8/4/2023,Americas,Colombia,Small Business,Nature of Business,Loss of end-client / product offering,06/08 Due to loss of end client and budget cuts the client has confirmed cancelation of this subscription.,,B4A - Brandwatch Consumer Research (BCR) - Core Account - Premium;Brandwatch Premium Research;,Q3-2023
LFI SPA,USD,1350,8/31/2023,Americas,Chile,Extra Small,Adoption,Lack of strategy / never adopted,06/01 AL: We received confirmation for our client that due to lack of adoption from their team and cost of the solution they will be doing their work manually for now and consider using SMM in the future. They shared they would rather prioritize the budget for BCR at this time,,B4A - Brandwatch Consumer Research (BCR) Core Account - Standard;Vizia;Vizia Theme;,Q3-2023
